frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
40|Dec 22, 2019 16:03:48.131303000 GMT|1.127993000|137|6|||||||||1|0.695705000|0.121360000|443|39391|49|32||31104|0x00000018|0|1|0||||0.136627000|49|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
41|Dec 22, 2019 16:03:48.131626000 GMT|1.128316000|88|6|||||||||1|0.696028000|0.000323000|39391|443|0|32||94720|0x00000010|0|1|0|||0.000323000|0.136627000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
43|Dec 22, 2019 16:03:48.133787000 GMT|1.130477000|119|6|||||||||2|0.000000000|0.000000000|39450|443|31|32||185|0x00000018|0|1|0|||||31|||||||||||||||||||21|||||||||1||||||||||||||||||||||||||
45|Dec 22, 2019 16:03:48.134944000 GMT|1.131634000|88|6|||||||||2|0.001157000|0.001157000|39450|443|0|32||185|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
48|Dec 22, 2019 16:03:48.186004000 GMT|1.182694000|100|6|||||||||2|0.052217000|0.051060000|443|39450|0|44||118|0x00000010|0|1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
50|Dec 22, 2019 16:03:48.186203000 GMT|1.182893000|88|6|||||||||2|0.052416000|0.000199000|443|39450|0|32||118|0x00000010|0|1|0|||0.051259000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52|Dec 22, 2019 16:03:48.186325000 GMT|1.183015000|119|6|||||||||2|0.052538000|0.000122000|443|39450|31|32||118|0x00000018|0|1|0|||||31|||||||||||||||||||21|||||||||1||||||||||||||||||||||||||
53|Dec 22, 2019 16:03:48.186515000 GMT|1.183205000|76|6|||||||||2|0.052728000|0.000190000|39450|443|0|20||0|0x00000004|0|0|0|||||||||||||||||||||||||||||||||||||||||||||6291456||||||||||||||
56|Dec 22, 2019 16:03:48.189283000 GMT|1.185973000|88|6|||||||||2|0.055496000|0.002768000|443|39450|0|32||118|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
57|Dec 22, 2019 16:03:48.189550000 GMT|1.186240000|76|6|||||||||2|0.055763000|0.000267000|39450|443|0|20||0|0x00000004|0|0|0|||||||||||||||||||||||||||||||||||||||||||||6291456||||||||||||||
60|Dec 22, 2019 16:03:48.225177000 GMT|1.221867000|76|6|||||||||2|0.091390000|0.035627000|443|39450|0|20||65535|0x00000014|0|1|0|||||||||||||||||||||||||||||||||||||||||||||6291456||||||||||||||
61|Dec 22, 2019 16:03:49.307951000 GMT|2.304641000|124|6|||||||||3|0.000000000|0.000000000|39359|443|36|32||163|0x00000018|0|1|0|||||36|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
63|Dec 22, 2019 16:03:49.308805000 GMT|2.305495000|161|6|||||||||3|0.000854000|0.000854000|39359|443|73|32||163|0x00000018|0|1|0|||||109|||||||||||||||||||23,23|||||||||||||||||||||||||||||||||||
65|Dec 22, 2019 16:03:49.308989000 GMT|2.305679000|155|6|||||||||3|0.001038000|0.000184000|39359|443|67|32||163|0x00000018|0|1|0|||||176|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
67|Dec 22, 2019 16:03:49.309539000 GMT|2.306229000|126|6|||||||||3|0.001588000|0.000550000|39359|443|38|32||163|0x00000018|0|1|0|||||214|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
70|Dec 22, 2019 16:03:49.479123000 GMT|2.475813000|88|6|||||||||3|0.171172000|0.169584000|443|39359|0|32||272|0x00000010|0|1|0|||0.171172000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
72|Dec 22, 2019 16:03:49.482552000 GMT|2.479242000|88|6|||||||||3|0.174601000|0.003429000|443|39359|0|32||272|0x00000010|0|1|0|||0.173747000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
