frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
1|Dec 22, 2019 16:11:38.473314000 GMT|0.000000000|96|6|||||||||0|0.000000000|0.000000000|39536|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
4|Dec 22, 2019 16:11:38.621495000 GMT|0.148181000|96|6|||||||||0|0.148181000|0.148181000|443|39536|0|40||28960|0x00000012|0|1|1|||0.148181000|||||||||||||||||||128|||||||||||||||||||||||2097152||||||||||||||
5|Dec 22, 2019 16:11:38.621799000 GMT|0.148485000|88|6|||||||||0|0.148485000|0.000304000|39536|443|0|32||81408|0x00000010|0|1|0|||0.000304000|0.148485000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
7|Dec 22, 2019 16:11:38.624253000 GMT|0.150939000|266|6|||||||||0|0.150939000|0.002454000|39536|443|178|32||81408|0x00000018|0|1|0||||0.148485000|178|||||||||||||||||||22|1|||gnu0.azenqos.com|http/1.1||49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53||||||||||||||||||||||||||||
10|Dec 22, 2019 16:11:38.732455000 GMT|0.259141000|88|6|||||||||0|0.259141000|0.108202000|443|39536|0|32||30080|0x00000010|0|1|0|||0.108202000|0.148485000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
12|Dec 22, 2019 16:11:38.732687000 GMT|0.259373000|1426|6|||||||||0|0.259373000|0.000232000|443|39536|1338|32||30080|0x00000010|0|1|0||||0.148485000|1338|||||||||||||||||||22|2||||http/1.1||49199||||||||||||||||||||||||||||
13|Dec 22, 2019 16:11:38.732892000 GMT|0.259578000|88|6|||||||||0|0.259578000|0.000205000|39536|443|0|32||83968|0x00000010|0|1|0|||0.000205000|0.148485000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
16|Dec 22, 2019 16:11:38.733090000 GMT|0.259776000|1426|6|||||||||0|0.259776000|0.000198000|443|39536|1338|32||30080|0x00000010|0|1|0||||0.148485000|1338|||||||||||||||||||22|11|||||||||||*.azenqos.com,azenqos.com|||||||||||||||||||||||
17|Dec 22, 2019 16:11:38.733269000 GMT|0.259955000|88|6|||||||||0|0.259955000|0.000179000|39536|443|0|32||86528|0x00000010|0|1|0|||0.000179000|0.148485000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
20|Dec 22, 2019 16:11:38.733366000 GMT|0.260052000|383|6|||||||||0|0.260052000|0.000097000|443|39536|295|32||30080|0x00000018|0|1|0||||0.148485000|295|||||||||||||||||||22,22|12,14||||||||||||||||||||||||||||||||||
