frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
1|Dec 22, 2019 18:30:36.389618000 GMT|0.000000000|96|6|||||||||0|0.000000000|0.000000000|42627|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
4|Dec 22, 2019 18:30:36.522748000 GMT|0.133130000|96|6|||||||||0|0.133130000|0.133130000|443|42627|0|40||28960|0x00000012|0|1|1|||0.133130000|||||||||||||||||||128|||||||||||||||||||||||2097152||||||||||||||
5|Dec 22, 2019 18:30:36.523095000 GMT|0.133477000|88|6|||||||||0|0.133477000|0.000347000|42627|443|0|32||81408|0x00000010|0|1|0|||0.000347000|0.133477000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
7|Dec 22, 2019 18:30:36.525911000 GMT|0.136293000|266|6|||||||||0|0.136293000|0.002816000|42627|443|178|32||81408|0x00000018|0|1|0||||0.133477000|178|||||||||||||||||||22|1|||gnu0.azenqos.com|http/1.1||49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53||||||||||||||||||||||||||||
10|Dec 22, 2019 18:30:36.642715000 GMT|0.253097000|88|6|||||||||0|0.253097000|0.116804000|443|42627|0|32||30080|0x00000010|0|1|0|||0.116804000|0.133477000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
12|Dec 22, 2019 18:30:36.645737000 GMT|0.256119000|1426|6|||||||||0|0.256119000|0.003022000|443|42627|1338|32||30080|0x00000010|0|1|0||||0.133477000|1338|||||||||||||||||||22|2||||http/1.1||49199||||||||||||||||||||||||||||
13|Dec 22, 2019 18:30:36.646227000 GMT|0.256609000|88|6|||||||||0|0.256609000|0.000490000|42627|443|0|32||83968|0x00000010|0|1|0|||0.000490000|0.133477000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
16|Dec 22, 2019 18:30:36.646441000 GMT|0.256823000|1426|6|||||||||0|0.256823000|0.000214000|443|42627|1338|32||30080|0x00000010|0|1|0||||0.133477000|1338|||||||||||||||||||22|11|||||||||||*.azenqos.com,azenqos.com|||||||||||||||||||||||
17|Dec 22, 2019 18:30:36.646890000 GMT|0.257272000|88|6|||||||||0|0.257272000|0.000449000|42627|443|0|32||86528|0x00000010|0|1|0|||0.000449000|0.133477000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
20|Dec 22, 2019 18:30:36.646956000 GMT|0.257338000|383|6|||||||||0|0.257338000|0.000066000|443|42627|295|32||30080|0x00000018|0|1|0||||0.133477000|295|||||||||||||||||||22,22|12,14||||||||||||||||||||||||||||||||||
