frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
2|Dec 22, 2019 18:23:09.212503000 GMT|0.000046000|144|6|||||||||0|0.000000000|0.000000000|443|42655|56|32||265|0x00000018|0|1|0|||||56|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
4|Dec 22, 2019 18:23:09.212725000 GMT|0.000268000|88|6|||||||||0|0.000222000|0.000222000|443|42655|0|32||265|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
6|Dec 22, 2019 18:23:09.212812000 GMT|0.000355000|144|6|||||||||1|0.000000000|0.000000000|443|41966|56|32||261|0x00000018|0|1|0|||||56|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
7|Dec 22, 2019 18:23:09.212998000 GMT|0.000541000|88|6|||||||||1|0.000186000|0.000186000|41966|443|0|32||180|0x00000010|0|1|0|||0.000186000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
10|Dec 22, 2019 18:23:09.213073000 GMT|0.000616000|88|6|||||||||1|0.000261000|0.000075000|443|41966|0|32||261|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
12|Dec 22, 2019 18:23:09.213146000 GMT|0.000689000|88|6|||||||||0|0.000643000|0.000421000|443|42655|0|32||265|0x00000011|1|1|0||||||||1||||1|||||||||||||||||||||||||||||||||2097152,6291456||||||||||||||
13|Dec 22, 2019 18:23:09.213267000 GMT|0.000810000|100|6|||||||||0|0.000764000|0.000121000|42655|443|0|44||190|0x00000010|0|1|0|||0.000542000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
16|Dec 22, 2019 18:23:09.215747000 GMT|0.003290000|88|6|||||||||1|0.002935000|0.002674000|443|41966|0|32||261|0x00000011|1|1|0||||||||1||||1|||||||||||||||||||||||||||||||||2097152,6291456||||||||||||||
17|Dec 22, 2019 18:23:09.216058000 GMT|0.003601000|100|6|||||||||1|0.003246000|0.000311000|41966|443|0|44||180|0x00000010|0|1|0|||0.002985000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
19|Dec 22, 2019 18:23:09.216457000 GMT|0.004000000|88|6|||||||||0|0.003954000|0.003190000|42655|443|0|32||190|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
22|Dec 22, 2019 18:23:09.294442000 GMT|0.081985000|88|6|||||||||0|0.081939000|0.077985000|443|42655|0|32||265|0x00000010|0|1|0|||0.077985000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
23|Dec 22, 2019 18:23:09.305516000 GMT|0.093059000|124|6|||||||||2|0.000000000|0.000000000|40544|443|36|32||185|0x00000018|0|1|0|||||36|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
25|Dec 22, 2019 18:23:09.306073000 GMT|0.093616000|124|6|||||||||2|0.000557000|0.000557000|40544|443|36|32||185|0x00000018|0|1|0|||||72|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
27|Dec 22, 2019 18:23:09.306397000 GMT|0.093940000|125|6|||||||||2|0.000881000|0.000324000|40544|443|37|32||185|0x00000018|0|1|0|||||109|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
29|Dec 22, 2019 18:23:09.306656000 GMT|0.094199000|155|6|||||||||2|0.001140000|0.000259000|40544|443|67|32||185|0x00000018|0|1|0|||||176|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
31|Dec 22, 2019 18:23:09.306934000 GMT|0.094477000|126|6|||||||||2|0.001418000|0.000278000|40544|443|38|32||185|0x00000018|0|1|0|||||214|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
34|Dec 22, 2019 18:23:09.423413000 GMT|0.210956000|88|6|||||||||2|0.117897000|0.116479000|443|40544|0|32||1452|0x00000010|0|1|0|||0.117897000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
36|Dec 22, 2019 18:23:09.423563000 GMT|0.211106000|88|6|||||||||2|0.118047000|0.000150000|443|40544|0|32||1452|0x00000010|0|1|0|||0.117490000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
38|Dec 22, 2019 18:23:09.423631000 GMT|0.211174000|88|6|||||||||2|0.118115000|0.000068000|443|40544|0|32||1452|0x00000010|0|1|0|||0.117234000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
40|Dec 22, 2019 18:23:09.431404000 GMT|0.218947000|88|6|||||||||2|0.125888000|0.007773000|443|40544|0|32||1452|0x00000010|0|1|0|||0.124748000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
42|Dec 22, 2019 18:23:09.431519000 GMT|0.219062000|88|6|||||||||2|0.126003000|0.000115000|443|40544|0|32||1452|0x00000010|0|1|0|||0.124585000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
44|Dec 22, 2019 18:23:10.492809000 GMT|1.280352000|76|6|||||||||3|0.000000000|0.000000000|80|42281|0|20||0|0x00000014|0|1|0|||||||||||||||||||||||||||||||||||||||||||||6291456||||||||||||||
45|Dec 22, 2019 18:23:11.538665000 GMT|2.326208000|96|6|||||||||4|0.000000000|0.000000000|42516|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
