frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
1|Dec 23, 2019 04:39:49.308408000 GMT|0.000000000|104|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|88||0|0.000000000|0.000000000|41869|443|36|32||188|0x00000018|0|1|0|||||36|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
3|Dec 23, 2019 04:39:49.310505000 GMT|0.002097000|246|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|230||0|0.002097000|0.002097000|41869|443|178|32||188|0x00000018|0|1|0|||||214|||||||||||||||||||23,23,23,23|||||||||||||||||||||||||||||||||||
6|Dec 23, 2019 04:39:49.396057000 GMT|0.087649000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||0|0.087649000|0.085552000|443|41869|0|32||23|0x00000010|0|1|0|||0.087649000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
8|Dec 23, 2019 04:39:49.408681000 GMT|0.100273000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||0|0.100273000|0.012624000|443|41869|0|32||24|0x00000010|0|1|0|||0.098176000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
9|Dec 23, 2019 04:39:50.064769000 GMT|0.756361000|78|4|17|25.141.92.229|49.45.0.1|0x00004000|0|64|62||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|53|45428|||||0x00000100||0||1|gnu0.azenqos.com|
12|Dec 23, 2019 04:39:50.170156000 GMT|0.861748000|94|4|17|49.45.0.1|25.141.92.229|0x00000000|0|60|78||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|45428|53|||||0x00008180|0|1|0.105387000|1|gnu0.azenqos.com|300
13|Dec 23, 2019 04:39:50.173236000 GMT|0.864828000|76|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|60||1|0.000000000|0.000000000|42264|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
16|Dec 23, 2019 04:39:50.210050000 GMT|0.901642000|76|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|60||1|0.036814000|0.036814000|443|42264|0|40||43440|0x00000012|0|1|1|||0.036814000|||||||||||||||||||4096|||||||||||||||||||||||2097152||||||||||||||
17|Dec 23, 2019 04:39:50.210325000 GMT|0.901917000|68|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|52||1|0.037089000|0.000275000|42264|443|0|32||82432|0x00000010|0|1|0|||0.000275000|0.037089000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
19|Dec 23, 2019 04:39:50.212627000 GMT|0.904219000|246|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|230||1|0.039391000|0.002302000|42264|443|178|32||82432|0x00000018|0|1|0||||0.037089000|178|||||||||||||||||||22|1|||gnu0.azenqos.com|http/1.1||49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53||||||||||||||||||||||||||||
