frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
1|Dec 23, 2019 04:54:49.304905000 GMT|0.000000000|104|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|88||0|0.000000000|0.000000000|41869|443|36|32||188|0x00000018|0|1|0|||||36|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
3|Dec 23, 2019 04:54:49.305682000 GMT|0.000777000|246|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|230||0|0.000777000|0.000777000|41869|443|178|32||188|0x00000018|0|1|0|||||214|||||||||||||||||||23,23,23,23|||||||||||||||||||||||||||||||||||
6|Dec 23, 2019 04:54:49.359847000 GMT|0.054942000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||0|0.054942000|0.054165000|443|41869|0|32||36|0x00000010|0|1|0|||0.054942000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
8|Dec 23, 2019 04:54:49.369760000 GMT|0.064855000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||0|0.064855000|0.009913000|443|41869|0|32||36|0x00000010|0|1|0|||0.064078000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
9|Dec 23, 2019 04:54:51.277482000 GMT|1.972577000|76|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|60||1|0.000000000|0.000000000|42548|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
12|Dec 23, 2019 04:54:51.331659000 GMT|2.026754000|76|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|60||1|0.054177000|0.054177000|443|42548|0|40||43440|0x00000012|0|1|1|||0.054177000|||||||||||||||||||4096|||||||||||||||||||||||2097152||||||||||||||
13|Dec 23, 2019 04:54:51.331912000 GMT|2.027007000|68|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|52||1|0.054430000|0.000253000|42548|443|0|32||82432|0x00000010|0|1|0|||0.000253000|0.054430000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
15|Dec 23, 2019 04:54:51.334392000 GMT|2.029487000|246|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|230||1|0.056910000|0.002480000|42548|443|178|32||82432|0x00000018|0|1|0||||0.054430000|178|||||||||||||||||||22|1|||gnu0.azenqos.com|http/1.1||49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53||||||||||||||||||||||||||||
18|Dec 23, 2019 04:54:51.390651000 GMT|2.085746000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||1|0.113169000|0.056259000|443|42548|0|32||45056|0x00000010|0|1|0|||0.056259000|0.054430000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
20|Dec 23, 2019 04:54:51.525840000 GMT|2.220935000|1426|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|1410||1|0.248358000|0.135189000|443|42548|1358|32||45056|0x00000010|0|1|0||||0.054430000|1358|||||||||||||||||||22|2||||http/1.1||49199||||||||||||||||||||||||||||
