frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
2|Dec 23, 2019 05:10:39.356671000 GMT|0.000028000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||0|0.000000000|0.000000000|443|42800|0|32||15|0x00000010|0|1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
4|Dec 23, 2019 05:10:39.371683000 GMT|0.015040000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||0|0.015012000|0.015012000|443|42800|0|32||16|0x00000010|0|1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
5|Dec 23, 2019 05:10:42.335244000 GMT|2.978601000|76|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|60||1|0.000000000|0.000000000|42832|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
8|Dec 23, 2019 05:10:42.609479000 GMT|3.252836000|76|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|60||1|0.274235000|0.274235000|443|42832|0|40||43440|0x00000012|0|1|1|||0.274235000|||||||||||||||||||4096|||||||||||||||||||||||2097152||||||||||||||
9|Dec 23, 2019 05:10:42.609797000 GMT|3.253154000|68|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|52||1|0.274553000|0.000318000|42832|443|0|32||82432|0x00000010|0|1|0|||0.000318000|0.274553000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
11|Dec 23, 2019 05:10:42.612455000 GMT|3.255812000|246|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|230||1|0.277211000|0.002658000|42832|443|178|32||82432|0x00000018|0|1|0||||0.274553000|178|||||||||||||||||||22|1|||gnu0.azenqos.com|http/1.1||49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53||||||||||||||||||||||||||||
14|Dec 23, 2019 05:10:42.647833000 GMT|3.291190000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||1|0.312589000|0.035378000|443|42832|0|32||45056|0x00000010|0|1|0|||0.035378000|0.274553000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
16|Dec 23, 2019 05:10:42.913702000 GMT|3.557059000|1426|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|1410||1|0.578458000|0.265869000|443|42832|1358|32||45056|0x00000010|0|1|0||||0.274553000|1358|||||||||||||||||||22|2||||http/1.1||49199||||||||||||||||||||||||||||
17|Dec 23, 2019 05:10:42.913913000 GMT|3.557270000|68|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|52||1|0.578669000|0.000211000|42832|443|0|32||84992|0x00000010|0|1|0|||0.000211000|0.274553000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
20|Dec 23, 2019 05:10:42.956936000 GMT|3.600293000|1426|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|1410||1|0.621692000|0.043023000|443|42832|1358|32||45056|0x00000010|0|1|0||||0.274553000|1358|||||||||||||||||||22|11|||||||||||*.azenqos.com,azenqos.com|||||||||||||||||||||||
