frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
1|Dec 23, 2019 04:48:15.518204000 GMT|0.000000000|76|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|60||0|0.000000000|0.000000000|42454|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
4|Dec 23, 2019 04:48:15.572330000 GMT|0.054126000|76|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|60||0|0.054126000|0.054126000|443|42454|0|40||43440|0x00000012|0|1|1|||0.054126000|||||||||||||||||||4096|||||||||||||||||||||||2097152||||||||||||||
5|Dec 23, 2019 04:48:15.572598000 GMT|0.054394000|68|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|52||0|0.054394000|0.000268000|42454|443|0|32||82432|0x00000010|0|1|0|||0.000268000|0.054394000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
7|Dec 23, 2019 04:48:15.574796000 GMT|0.056592000|246|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|230||0|0.056592000|0.002198000|42454|443|178|32||82432|0x00000018|0|1|0||||0.054394000|178|||||||||||||||||||22|1|||gnu0.azenqos.com|http/1.1||49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53||||||||||||||||||||||||||||
10|Dec 23, 2019 04:48:15.612304000 GMT|0.094100000|68|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|52||0|0.094100000|0.037508000|443|42454|0|32||45056|0x00000010|0|1|0|||0.037508000|0.054394000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
12|Dec 23, 2019 04:48:15.761555000 GMT|0.243351000|1426|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|1410||0|0.243351000|0.149251000|443|42454|1358|32||45056|0x00000010|0|1|0||||0.054394000|1358|||||||||||||||||||22|2||||http/1.1||49199||||||||||||||||||||||||||||
13|Dec 23, 2019 04:48:15.761810000 GMT|0.243606000|68|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|52||0|0.243606000|0.000255000|42454|443|0|32||84992|0x00000010|0|1|0|||0.000255000|0.054394000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
16|Dec 23, 2019 04:48:15.765031000 GMT|0.246827000|1426|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|1410||0|0.246827000|0.003221000|443|42454|1358|32||45056|0x00000010|0|1|0||||0.054394000|1358|||||||||||||||||||22|11|||||||||||*.azenqos.com,azenqos.com|||||||||||||||||||||||
17|Dec 23, 2019 04:48:15.765271000 GMT|0.247067000|68|4|6|25.141.92.229|35.198.216.17|0x00004000|0|64|52||0|0.247067000|0.000240000|42454|443|0|32||88064|0x00000010|0|1|0|||0.000240000|0.054394000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
20|Dec 23, 2019 04:48:15.765372000 GMT|0.247168000|323|4|6|35.198.216.17|25.141.92.229|0x00004000|0|62|307||0|0.247168000|0.000101000|443|42454|255|32||45056|0x00000018|0|1|0||||0.054394000|255|||||||||||||||||||22,22|12,14||||||||||||||||||||||||||||||||||
